"round","learning_rate","max_depth","mds","sb_sample","spw","auc","Fmeasure","precision","recall","fnm","x","y","n"
1,1,2,0,0.5,50,0.864798513607974,0.185274197072318,0.103477730323368,0.884254431699687,"dt_9478_x_recent.wayback_wm_y.train30.test30.roll30_ret_grid.csv","recent.wayback","wm","9478"
2,1,8,0,0.5,50,0.837534361950155,0.164902280130293,0.0913705583756345,0.844629822732012,"dt_9478_x_recent.wayback_wm_y.train30.test30.roll30_ret_grid.csv","recent.wayback","wm","9478"
3,1,2,0,1,50,0.838951061514956,0.186328032281035,0.105129235301995,0.818561001042753,"dt_9478_x_recent.wayback_wm_y.train30.test30.roll30_ret_grid.csv","recent.wayback","wm","9478"
4,1,8,0,1,50,0.721204792777973,0.18488010250778,0.112122557726465,0.526590198123045,"dt_9478_x_recent.wayback_wm_y.train30.test30.roll30_ret_grid.csv","recent.wayback","wm","9478"
1,1,2,0,0.5,19,0.789056831250586,0.544261338777891,0.490407358738502,0.611402359108781,"dt_9508_x_ben.recent.wayback_cc_y.train30.test30.roll30_ret_grid.csv","ben.recent.wayback","cc","9508"
2,1,8,0,0.5,19,0.790227752154074,0.506645401382244,0.426207513416816,0.624508519003932,"dt_9508_x_ben.recent.wayback_cc_y.train30.test30.roll30_ret_grid.csv","ben.recent.wayback","cc","9508"
3,1,2,0,1,19,0.782425989167662,0.471530471780753,0.381453735574003,0.617300131061599,"dt_9508_x_ben.recent.wayback_cc_y.train30.test30.roll30_ret_grid.csv","ben.recent.wayback","cc","9508"
4,1,8,0,1,19,0.782992532224935,0.475457413249211,0.386620151857172,0.617300131061599,"dt_9508_x_ben.recent.wayback_cc_y.train30.test30.roll30_ret_grid.csv","ben.recent.wayback","cc","9508"
1,1,2,0,0.5,7,0.835244687000871,0.541077480425383,0.391885791671369,0.873694804377909,"dt_9508_x_ben.recent.wayback_fx_y.train30.test30.roll30_ret_grid.csv","ben.recent.wayback","fx","9508"
2,1,8,0,0.5,7,0.835125644186649,0.545576938306803,0.398093036694597,0.866649893068311,"dt_9508_x_ben.recent.wayback_fx_y.train30.test30.roll30_ret_grid.csv","ben.recent.wayback","fx","9508"
3,1,2,0,1,7,0.811624764278422,0.542170229237452,0.411906940269246,0.792929928292867,"dt_9508_x_ben.recent.wayback_fx_y.train30.test30.roll30_ret_grid.csv","ben.recent.wayback","fx","9508"
4,1,8,0,1,7,0.734704423978056,0.530507542906004,0.515550807217474,0.546358032456913,"dt_9508_x_ben.recent.wayback_fx_y.train30.test30.roll30_ret_grid.csv","ben.recent.wayback","fx","9508"
1,1,2,0,0.5,129,0.832628912046405,0.125065319630726,0.068237977570804,0.747916666666667,"dt_9508_x_ben.recent.wayback_ln_y.train30.test30.roll30_ret_grid.csv","ben.recent.wayback","ln","9508"
2,1,8,0,0.5,129,0.830092826790773,0.169424549271425,0.0961053516391146,0.714583333333333,"dt_9508_x_ben.recent.wayback_ln_y.train30.test30.roll30_ret_grid.csv","ben.recent.wayback","ln","9508"
3,1,2,0,1,129,0.798439818561986,0.286403085824494,0.186323713927227,0.61875,"dt_9508_x_ben.recent.wayback_ln_y.train30.test30.roll30_ret_grid.csv","ben.recent.wayback","ln","9508"
4,1,8,0,1,129,0.795086334817213,0.31584640346133,0.213294375456538,0.608333333333333,"dt_9508_x_ben.recent.wayback_ln_y.train30.test30.roll30_ret_grid.csv","ben.recent.wayback","ln","9508"
1,1,2,0,0.5,47,0.868232315816981,0.183992029226171,0.102440828402367,0.90228013029316,"dt_9508_x_ben.recent.wayback_wm_y.train30.test30.roll30_ret_grid.csv","ben.recent.wayback","wm","9508"
2,1,8,0,0.5,47,0.865870019292944,0.261846352485474,0.155593064293387,0.825732899022801,"dt_9508_x_ben.recent.wayback_wm_y.train30.test30.roll30_ret_grid.csv","ben.recent.wayback","wm","9508"
3,1,2,0,1,47,0.817629724975547,0.25167450477412,0.152530661599585,0.719055374592834,"dt_9508_x_ben.recent.wayback_wm_y.train30.test30.roll30_ret_grid.csv","ben.recent.wayback","wm","9508"
4,1,8,0,1,47,0.761528635447486,0.281729428172943,0.186494328673173,0.575732899022801,"dt_9508_x_ben.recent.wayback_wm_y.train30.test30.roll30_ret_grid.csv","ben.recent.wayback","wm","9508"
